,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,-44%,5000000000,9000000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,500%,12000000000,2000000000,500000000,2,,,,,,,,,,,,,,,,,,,,
,39%,625000000,450000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,1054%,15000000000,1300000000,40000000,2,,,,,,,,,,,,,,,,,,,,
,-7%,1344000000,1440000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,789%,8000000000,900000000,200000000,1,,,,,,,,,,,,,,,,,,,,
,60%,4000000000,2500000000,300000000,2,,,,,,,,,,,,,,,,,,,,
,550%,13000000000,2000000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-31%,360000000,525000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,900%,9000000000,900000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,-36%,96000000,150000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,0%,400000000,400000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,22%,2200000000,1800000000,10000000000,3,,,,,,,,,,,,,,,,,,,,
,0%,1700000000,1700000000,Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-31%,4500000000,6500000000,1000000000,3,,,,,,,,,,,,,,,,,,,,
,1233%,20000000000,1500000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,11%,200000000,180000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,900%,700000000,70000000,1500000000,3,,,,,,,,,,,,,,,,,,,,
,53%,139750000,91250000,5000000000,2,,,,,,,,,,,,,,,,,,,,
,900%,5000000000,500000000,2000000000,3,,,,,,,,,,,,,,,,,,,,
,-14%,2.16E+11,2.5E+11,1000000000,3,,,,,,,,,,,,,,,,,,,,
,0%,8.21073E+12,8.21065E+12,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,14%,96000000000,84000000000,55000000000,3,,,,,,,,,,,,,,,,,,,,
,499900%,5E+11,100000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
